,GEO,REF_DATE,DGUID,uom_houseindex,scalar_houseindex,house_only,land_only,total_house_land,uom_income,scalar_income,statistic_income,income,uom_expenditure,scalar_expenditure,statistic_expenditure,food_expenditures,income_taxes,mortageinsurance,mortagePaid,accomodation,rent,shelter,total_expenditure,taxes_landregfees,uom_tourist,scalar_tourist,international_tourism,domestic_tourism,uom_labourforce,scalar_labourforce,statistic_labourforce,employment,fulltime,labourforce,parttime,population,unemployment,uom_lfperc,scalar_lfperc,statistic_labourforceperc,employment_rate,participationrate,unemployment_rate,uom_crime,scalar_crime,statistic_crime,crime_incidents,uom_cpi,scalar_cpi,cpi_index,uom_oil,scalar_oil,diesel_fillingstations,diesel_selfservstations,premium_fillingstations,premium_selfservstations,regular_fillingstations,regular_selfservstations,uom_imm,scalar_imm,immigrants,1y_fixed_posted,2y_bond,3y_bond,3y_fixed_posted,5y_bond,5y_fixed_posted,7y_bond,10y_bond,bank,overnight,overnight_target,prime,Mean_Max_Temp,Mean_Min_Temp,Mean_Temp,Total_Rain,Total_Snow,predicted_total_house_index
10,Quebec,1993-11,2016A000224,"Index, 201612=100",units,55.2,53.4,54.6,,,,,,,,,,,,,,,,,Persons,unit,521452.0,785357.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1955.5,1628.8167,2244.2166,326.7,3468.25,288.73334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",51.8,59.866665,13.65,,,,,Percent,unit,1.5,Cents per litre,units,53.6999988556,54.4500007629,66.9000015259,66.4000015259,57.7000007629,57.25,,,,6.25,,,,,7.75,,,,,,5.5,0.5,-8.7,-4.1,9.9,54.3,54.6005096436
11,Quebec,1994-12,2016A000224,"Index, 201612=100",units,55.5,53.1,54.7,,,,,,,,,,,,,,,,,Persons,unit,436034.0,730396.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1999.35,1685.4833,2269.75,313.88333,3492.9,270.36667,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",52.583332,60.116665,12.5,,,,,Percent,unit,1.2,Cents per litre,units,54.0,54.6499996185,66.3000030518,64.8499984741,55.7999992371,54.75,,,,9.5,,,,,10.5,,,,,,8.0,-3.9,-12.3,-8.1,8.7,60.6,54.8082771301
12,Quebec,2000-08,2016A000224,"Index, 201612=100",units,59.8,55.2,58.3,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.33,,,,,,,,,,,,,Persons,unit,761090.0,1429239.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2181.4834,1828.6167,2379.7,352.88333,3623.0833,198.21666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",55.75,61.216667,9.116667,Number,unit,"Total of all violations-Rate per 100,000 population",543.26,Percent,unit,1.7,Cents per litre,units,71.0999984741,72.2000007629,81.9499969482,81.25,74.8999977112,74.4000015259,,,,7.9,5.88,5.92,8.1,5.92,8.25,5.92,5.77,6.0,,5.75,7.5,22.7,11.5,17.1,169.7,0.0,57.8483581543
13,Quebec,2002-10,2016A000224,"Index, 201612=100",units,67.1,61.1,65.2,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.83,,,,,,,,,,,,,Persons,unit,390261.0,858563.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2287.8167,1893.9333,2492.1167,393.85,3692.0166,204.3,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.1,63.716667,8.816667,Number,unit,"Total of all violations-Rate per 100,000 population",517.04,Percent,unit,2.1,Cents per litre,units,72.6500015259,73.1500015259,85.6000022888,83.5,78.5499992371,77.2999992371,Persons,units,8532.0,5.3,3.39,3.82,6.2,4.34,7.0,4.76,5.16,3.0,,2.75,4.5,7.9,-0.8,3.6,35.3,20.2,65.1628799438
14,Ontario,2003-06,2016A000235,"Index, 201612=100",units,58.7,79.0,64.5,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.33,,,,,,,,,,,,,Persons,unit,1614356.0,4346659.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",3957.1,3257.1667,4240.4165,699.95,5981.0835,283.33334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",61.75,66.76667,7.3166666,Number,unit,"Total of all violations-Rate per 100,000 population",531.17,Percent,unit,1.9,Cents per litre,units,,,81.5999984741,78.866666158,71.5999984741,69.0,,,,4.85,3.05,3.17,5.2,3.55,5.8,3.92,4.37,3.5,,3.25,5.0,23.2,14.2,18.7,84.8,0.0,64.488899231
15,Manitoba,1990-02,2016A000246,"Index, 201612=100",units,40.6,32.8,38.4,,,,,,,,,,,,,,,,,Persons,unit,111999.0,152611.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",326.13333,263.53333,350.38333,62.583332,500.45,24.216667,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",61.616665,66.63333,7.1833334,,,,,Percent,unit,3.3,Cents per litre,units,46.2999992371,46.0,56.0999984741,55.4000015259,52.5999984741,51.7999992371,,,,13.0,,,,,12.75,,,,,,14.25,-12.5,-25.9,-19.2,0.0,17.8,38.2608795166
16,Manitoba,2003-05,2016A000246,"Index, 201612=100",units,54.2,36.6,49.0,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.67,,,,,,,,,,,,,Persons,unit,79350.0,171626.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",360.68332,293.68332,377.51666,67.0,529.35,16.833334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",64.71667,68.13333,4.85,Number,unit,"Total of all violations-Rate per 100,000 population",1120.95,Percent,unit,1.9,Cents per litre,units,62.7000007629,63.2000007629,73.3000030518,74.0,64.1999969482,63.7000007629,,,,5.05,3.17,3.3,5.6,3.72,6.15,4.09,4.5,3.5,,3.25,5.0,18.1,4.1,11.1,10.6,0.0,49.1811294556
17,Manitoba,2010-09,2016A000246,"Index, 201612=100",units,82.8,83.6,83.2,,,,,Dollars,unit,Average expenditure per household,67.25,627.5,941.58,8.92,319.58,959.5,198.42,1066.83,5659.0,Persons,unit,134579.0,190817.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",388.28333,316.23334,409.4,72.05,567.73334,21.1,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",65.4,69.433334,5.766667,Number,unit,"Total of all violations-Rate per 100,000 population",887.49,Percent,unit,1.5,Cents per litre,units,93.9000015259,94.4000015259,111.300003052,109.800003052,99.0999984741,98.9000015259,,,,3.3,1.41428571429,1.64714285714,4.1,2.15714285714,5.39,2.25666666667,2.88142857143,1.19318181818,0.951171428571,0.943181818182,2.9,,,,,,83.2116088867
18,Saskatchewan,2012-06,2016A000247,"Index, 201612=100",units,100.6,94.5,99.0,,,,,Dollars,unit,Average expenditure per household,83.83,619.0,1118.42,10.75,333.58,1047.83,235.67,1154.08,6273.08,Persons,unit,34511.0,69186.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",348.18332,289.73334,365.2,58.45,503.3,16.983334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",66.566666,70.23333,5.1666665,Number,unit,"Total of all violations-Rate per 100,000 population",1129.58,Percent,unit,1.7,Cents per litre,units,,111.799999237,138.050003052,139.150001526,125.299999237,125.799999237,,,,3.2,1.01047619048,1.05428571429,3.95,1.23095238095,5.24,1.45285714286,1.74761904762,1.25,1.0008047619,1.0,3.0,,,,,,98.8635025024
19,Alberta,1988-06,2016A000248,"Index, 201612=100",units,31.4,26.2,29.9,,,,,,,,,,,,,,,,,Persons,unit,64085.0,166808.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",773.85,643.2,836.5,130.65,1121.1833,62.65,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",64.2,69.71667,7.95,,,,,Percent,unit,,Cents per litre,units,,,,,42.9500007629,,,,,10.75,,,,,11.25,,,,,,10.75,,,,,,29.7306041718
20,British Columbia,1987-06,2016A000259,"Index, 201612=100",units,83.1,50.7,69.0,,,,,,,,,,,,,,,,,Persons,unit,1121819.0,1753884.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",873.8333,711.26666,990.55,162.6,1446.45,116.7,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",56.966667,65.1,12.166667,,,,,Percent,unit,,Cents per litre,units,,,,,49.6000003815,,,,,9.75,,,,,11.25,,,,,,9.5,19.0,11.3,15.2,25.6,0.0,68.8716049194
21,British Columbia,1996-11,2016A000259,"Index, 201612=100",units,84.4,85.6,83.9,,,,,,,,,,,,,,,,,Persons,unit,920829.0,1354213.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1162.6167,933.51666,1279.35,229.08333,1878.4,116.75,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",57.2,63.383335,9.533334,,,,,Percent,unit,1.6,Cents per litre,units,54.0500011444,54.1999988556,68.8500022888,67.5,58.75,57.7000007629,,,,5.2,,,,,6.95,,,,,,4.75,7.1,1.4,4.3,263.0,32.0,83.5409317017
22,Quebec,2005-01,2016A000224,"Index, 201612=100",units,78.1,69.7,75.5,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.67,,,,,,,,,,,,,Persons,unit,455609.0,750096.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2368.8,1972.1833,2578.5833,396.66666,3770.2166,209.75,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.3,64.95,8.55,Number,unit,"Total of all violations-Rate per 100,000 population",502.47,Percent,unit,1.9,Cents per litre,units,86.9499969482,87.2999992371,91.5499992371,89.75,84.5999984741,83.4499969482,Persons,units,8516.0,4.8,2.9480952381,3.14285714286,5.6,3.62047619048,6.05,3.93952380952,4.2580952381,2.75,2.49787,2.5,4.25,-11.4,-25.0,-18.2,5.0,21.2,75.2339859009
23,Quebec,2008-03,2016A000224,"Index, 201612=100",units,88.8,81.2,86.6,,,,,,,,,,,,,,,,,Persons,unit,661238.0,932904.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2480.3,2042.6333,2663.4,437.66666,3901.6667,183.1,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.566666,65.4,7.383333,Number,unit,"Total of all violations-Rate per 100,000 population",495.15,Percent,unit,2.3,Cents per litre,units,130.099998474,131.25,124.300003052,123.450000763,117.450000763,116.150001526,,,,7.21,2.57952380952,2.67619047619,7.26,2.95095238095,7.25,3.17047619048,3.50666666667,3.77272727273,3.510385,3.52272727273,5.25,,,,,,86.9730072021
24,Quebec,2008-08,2016A000224,"Index, 201612=100",units,91.0,83.9,88.8,,,,,,,,,,,,,,,,,Persons,unit,948991.0,1466073.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2472.7166,2043.4667,2666.1667,429.23334,3921.7666,193.46666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.166668,65.2,7.6666665,Number,unit,"Total of all violations-Rate per 100,000 population",495.15,Percent,unit,2.5,Cents per litre,units,142.25,141.650001526,138.150001526,136.650001526,130.900001526,128.950004578,,,,6.71,2.7905,2.943,6.76,3.1035,6.91,3.3245,3.5915,3.25,2.999715,3.0,4.75,22.6,11.9,17.3,35.2,0.0,88.1742782593
25,Quebec,2011-03,2016A000224,"Index, 201612=100",units,95.4,95.6,95.3,,,,,Dollars,unit,Average expenditure per household,64.5,621.25,906.42,7.17,297.42,935.5,254.42,1015.5,5385.42,Persons,unit,681884.0,928751.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2536.0,2072.3333,2743.4666,463.63333,4043.7666,207.5,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.033333,65.46667,8.316667,Number,unit,"Total of all violations-Rate per 100,000 population",441.29,Percent,unit,1.8,Cents per litre,units,131.899993896,131.649993896,136.650001526,136.149993896,128.550003052,127.749996185,,,,3.5,1.74173913043,2.09304347826,4.35,2.6447826087,5.39,2.8252173913,3.26652173913,1.25,0.994143478261,1.0,3.0,-1.2,-12.4,-6.9,40.8,70.4,95.323387146
26,Quebec,2015-01,2016A000224,"Index, 201612=100",units,98.7,99.1,98.8,,,,,Dollars,unit,Average expenditure per household,74.92,679.5,1050.75,8.08,326.92,1044.67,271.58,1129.83,5702.58,Persons,unit,639960.0,851640.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2598.3667,2113.95,2802.0,484.43332,4160.467,203.6,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.466667,65.73333,7.983333,Number,unit,"Total of all violations-Rate per 100,000 population",350.96,Percent,unit,1.7,Cents per litre,units,,119.799999237,,113.0,,99.6500015259,Persons,units,6508.0,3.14,0.75619047619,0.777142857143,3.44,1.0080952381,4.79,1.1919047619,1.52571428571,1.15909090909,0.9082,0.909090909091,2.9625,-11.4,-24.4,-17.9,0.0,69.2,98.5583190918
27,Manitoba,2002-11,2016A000246,"Index, 201612=100",units,53.6,35.4,48.1,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.67,,,,,,,,,,,,,Persons,unit,68308.0,141133.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",360.51666,295.18332,379.05,65.35,526.4,18.5,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",65.066666,68.833336,5.3,Number,unit,"Total of all violations-Rate per 100,000 population",1021.23,Percent,unit,2.1,Cents per litre,units,64.4000015259,62.9000015259,76.8000030518,75.3000030518,66.9000015259,65.5,,,,4.9,3.47,3.86,6.0,4.39,6.7,4.79,5.18,3.0,,2.75,4.5,-3.2,-11.7,-7.5,0.0,20.0,48.1441078186
28,Manitoba,2011-06,2016A000246,"Index, 201612=100",units,86.4,85.5,86.2,,,,,Dollars,unit,Average expenditure per household,70.92,607.5,951.58,9.0,324.5,954.33,201.92,1063.75,5683.33,Persons,unit,117156.0,189421.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",387.1,314.8,409.86667,72.3,572.4667,22.733334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",64.683334,68.85,5.85,Number,unit,"Total of all violations-Rate per 100,000 population",822.16,Percent,unit,1.8,Cents per litre,units,115.900001526,113.900001526,132.399993896,131.0,119.800003052,119.300003052,,,,3.52,1.46272727273,1.75272727273,4.29,2.20590909091,5.41,2.58590909091,2.98772727273,1.25,0.997581818182,1.0,3.0,,,,,,85.7561264038
29,Saskatchewan,2005-11,2016A000247,"Index, 201612=100",units,54.4,47.0,52.4,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.75,,,,,,,,,,,,,Persons,unit,22513.0,42350.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",302.16666,246.43333,318.41666,55.783333,453.05,16.233334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",63.6,67.45,5.616667,Number,unit,"Total of all violations-Rate per 100,000 population",1322.19,Percent,unit,1.9,Cents per litre,units,,107.350002289,101.299999237,100.75,91.0499992371,90.6499977112,,,,5.46666666667,3.70571428571,3.74952380952,5.65,3.8880952381,6.15,3.96952380952,4.10714285714,3.25,2.98621428571,3.0,4.75,3.2,-6.2,-1.5,14.7,13.0,52.6751403809
30,Saskatchewan,2008-04,2016A000247,"Index, 201612=100",units,100.4,72.7,93.1,,,,,,,,,,,,,,,,,Persons,unit,35321.0,55549.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",324.4,268.9,337.83334,55.5,466.38333,13.45,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",67.13333,70.23333,4.25,Number,unit,"Total of all violations-Rate per 100,000 population",1208.49,Percent,unit,2.3,Cents per litre,units,,124.599998474,132.0,132.900001526,121.600002289,121.899997711,Persons,units,1712.0,7.01666666667,2.79045454545,2.98181818182,7.06666666667,3.11272727273,7.05666666667,3.29363636364,3.62863636364,3.59090909091,3.33662727273,3.34090909091,5.0,,,,,,91.6033096313
31,Saskatchewan,2009-08,2016A000247,"Index, 201612=100",units,92.5,80.8,89.5,,,,,,,,,,,,,,,,,Persons,unit,49730.0,76598.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",330.46667,269.03333,346.38333,61.433334,478.85,15.9,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",66.38333,69.833336,4.85,Number,unit,"Total of all violations-Rate per 100,000 population",1196.5,Percent,unit,2.2,Cents per litre,units,,87.25,114.449996948,115.150001526,102.649997711,103.600002289,,,,3.75,1.33428571429,1.84523809524,4.55,2.60952380952,5.85,2.8319047619,3.46095238095,0.5,0.23976,0.25,2.25,,,,,,89.1333847046
32,Alberta,1997-08,2016A000248,"Index, 201612=100",units,41.9,39.8,40.9,,,,,,,,,,,,,,,,,Persons,unit,129444.0,293229.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",930.88336,765.98334,984.75,164.9,1321.75,53.866665,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",65.21667,69.28333,5.9166665,,,,,Percent,unit,1.6,Cents per litre,units,49.3000011444,48.4000015259,63.5499992371,53.75,53.75,53.1500015259,,,,5.65,,,,,7.0,,,,,,4.75,,,,,,40.9136657715
33,British Columbia,2013-01,2016A000259,"Index, 201612=100",units,93.3,99.3,95.3,,,,,Dollars,unit,Average expenditure per household,152.17,676.5,941.17,9.58,557.08,1398.08,315.17,1574.08,6570.92,Persons,unit,1261787.0,1624973.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1437.3833,1141.4667,1536.7333,295.9,2298.65,99.35,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.6,64.25,7.266667,Number,unit,"Total of all violations-Rate per 100,000 population",711.26,Percent,unit,1.6,Cents per litre,units,133.699996948,132.149993896,137.550003052,134.5,123.300003052,120.5,Persons,units,7712.0,3.0,1.17173913043,1.25086956522,3.66666666667,1.46652173913,5.24,1.65304347826,1.93391304348,1.25,1.00189545455,1.0,3.0,,,,,,95.107421875
34,Nova Scotia,1995-03,2016A000212,"Index, 201612=100",units,59.5,65.6,61.2,,,,,,,,,,,,,,,,,Persons,unit,12754.0,23030.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",239.11667,195.38333,272.21667,43.733334,439.26666,33.1,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",50.316666,57.766666,12.233334,,,,,Percent,unit,1.3,Cents per litre,units,54.5999984741,,65.3000030518,63.0999984741,57.2999992371,55.0999984741,,,,9.25,,,,,9.88,,,,,,9.75,,,,,,61.1190185547
35,Nova Scotia,2003-09,2016A000212,"Index, 201612=100",units,71.8,73.7,72.3,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.75,,,,,,,,,,,,,Persons,unit,8558.0,123321.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",275.51666,225.11667,302.85,50.383335,462.15,27.316668,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",56.483334,62.633335,9.65,Number,unit,"Total of all violations-Rate per 100,000 population",765.9,Percent,unit,1.9,Cents per litre,units,71.9000015259,,90.3000030518,86.6999969482,84.5999984741,80.9000015259,,,,4.55,3.02,3.32,5.8,3.86,6.3,4.27,4.64,3.0,,2.75,4.5,24.0,10.2,17.1,,,72.2384414673
36,Nova Scotia,2008-12,2016A000212,"Index, 201612=100",units,90.0,94.1,90.8,,,,,,,,,,,,,,,,,Persons,unit,9068.0,21643.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",287.68332,238.41667,312.21667,49.316666,470.01666,24.533333,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.733334,64.23333,8.566667,Number,unit,"Total of all violations-Rate per 100,000 population",646.53,Percent,unit,2.7,Cents per litre,units,97.8000030518,,88.4000015259,85.8000030518,80.3000030518,77.6999969482,,,,5.6,1.37523809524,1.61142857143,6.31666666667,2.00666666667,6.81666666667,2.42333333333,2.94571428571,1.94565217391,1.71103809524,1.69565217391,3.58333333333,,,,,,90.6865615845
